[2026-03-09 11:19:26.645253] Starting Lab Monitor Server on http://0.0.0.0:5000
[2026-03-09 11:19:26.645305] Screenshots directory: /data/server/screenshots
 * Serving Flask app 'app'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.17.0.8:5000
[33mPress CTRL+C to quit[0m
192.168.29.107 - - [09/Mar/2026 11:24:12] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:14] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:16] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:18] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:20] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:22] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:24] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:26] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:28] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:30] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:31] "GET / HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:31] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:33] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:35] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:37] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:38] "[31m[1mGET /upload HTTP/1.1[0m" 405 -
192.168.29.107 - - [09/Mar/2026 11:24:43] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:43] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:45] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:47] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:49] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:51] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:53] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:55] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:57] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:24:59] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:01] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:03] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:05] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:07] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:09] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:11] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:13] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:15] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:17] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:19] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:21] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:23] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:25] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:27] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:29] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:31] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:33] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:35] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:37] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:39] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:41] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:43] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:45] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:47] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:49] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:51] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:53] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:55] "GET /api/machines HTTP/1.1" 200 -
192.168.29.107 - - [09/Mar/2026 11:25:57] "GET /api/machines HTTP/1.1" 200 -
